order,na_adjacency,n_edge,d_edge,na_order
DNAn,1,1,1,0
DANn,1,1,1,0
NDAn,1,1,0,0
NADn,0,1,0,0
ADNn,0,1,0,0
ANDn,0,1,0,0
DNnA,1,0,1,1
DAnN,1,0,1,0
NDnA,1,0,0,1
NAnD,1,0,0,0
ADnN,0,0,0,0
ANnD,0,0,0,0
DnAN,1,0,1,1
DnNA,0,0,1,1
NnDA,0,0,0,1
NnAD,1,0,0,1
AnDN,1,0,0,0
AnND,1,0,0,0
nDNA,0,1,0,1
nDAN,0,1,0,1
nNDA,0,1,0,1
nNAD,0,1,1,1
nADN,1,1,0,1
nAND,1,1,1,1
